1382591497,mcintyre-800-1__demo-model__demo-lab-b,mcintyre-800-2__demo-model__demo-lab-b,mcintyre-1317-1__demo-model__demo-lab-b,mcintyre-805-1__demo-model__demo-lab-b,mcintyre-810-1__demo-model__demo-lab-b,mcintyre-825-1__demo-model__demo-lab-b,mcintyre-815-1__demo-model__demo-lab-b,mcintyre-815-2__demo-model__demo-lab-b,mcintyre-1012-1__demo-model__demo-lab-b,mcintyre-1217-1__demo-model__demo-lab-b,mcintyre-1307-1__demo-model__demo-lab-b,mcintyre-1312-1__demo-model__demo-lab-b,mcintyre-1309-1__demo-model__demo-lab-b,mcintyre-1303-1__demo-model__demo-lab-b,mcintyre-1002-1__demo-model__demo-lab-b,mcintyre-1003-1__demo-model__demo-lab-b,mcintyre-1314-1__demo-model__demo-lab-b,mcintyre-944-1__demo-model__demo-lab-b,mcintyre-1313-1__demo-model__demo-lab-b
2013-10-24 00:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222222,518.6197649305554,200.0,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-24 01:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222221,518.8628237268517,200.0,200.0,200.0,400.14235625000003,502.2499999999998,650.0
2013-10-24 02:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222221,519.0451178240739,200.0,200.0,200.0,400.0815915509259,502.2499999999998,650.0
2013-10-24 03:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222221,518.6805296296296,200.0,200.0,200.0,400.0815915509259,502.2499999999998,650.0
2013-10-24 04:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222221,518.6197649305556,200.0,200.0,200.0,399.89929745370375,502.2499999999998,650.0
2013-10-24 05:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,625.9895946759258,500.8402680555555,522.9097222222221,518.9235884259258,200.0,200.0,200.0,399.9600621527778,502.2499999999998,650.0
2013-10-24 06:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222221,519.045117824074,200.0,200.0,200.0,400.32465034722213,502.2499999999998,650.0
2013-10-24 07:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,522.9097222222221,543.3182627314815,200.0,200.0,200.0,399.89929745370375,502.2499999999998,650.0
2013-10-24 08:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,625.5034511574072,500.8402680555555,522.9097222222221,650.0,560.6967414351852,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-24 09:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,625.9895946759258,500.8402680555555,524.2060185185187,650.0,595.6076291666666,200.0,200.0,399.8385327546296,502.2499999999998,650.0
2013-10-24 10:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,597.7019724537038,586.9791666666666,650.0,650.0,626.1516357638887,500.8402680555555,567.7048611111112,650.0,429.5237244212964,200.0,200.0,400.20312094907405,502.2499999999998,650.0
2013-10-24 11:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,569.381934722222,586.9791666666666,650.0,650.0,626.0503626157408,500.8402680555555,540.9322706018518,650.0,346.8888888888889,200.0,200.0,399.9600621527777,502.2499999999998,650.0
2013-10-24 12:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,365.9201307870369,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,597.3778773148148,650.0,345.454847337963,200.0,200.0,400.14235625000003,502.2499999999998,650.0
2013-10-24 13:00:00-05:00,650.0,650.0,650.0,200.0,632.722241666667,263.9097124999999,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,615.125,650.0,344.89581388888894,200.0,200.0,400.50694444444446,502.2499999999998,650.0
2013-10-24 14:00:00-05:00,650.0,650.0,650.0,200.0,575.4907472222222,443.5439847222222,587.039928125,650.0,650.0,626.1111305555555,500.8402680555555,615.125,618.272545949074,344.89581388888894,200.0,200.0,400.02082685185195,502.2499999999998,650.0
2013-10-24 15:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,626.1111305555555,500.8402680555555,615.125,570.6944152777774,344.89581388888894,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-24 16:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,575.5798440972222,500.8402680555555,613.4478947916665,570.9982387731482,344.89581388888894,200.0,200.0,399.89929745370375,502.2499999999998,650.0
2013-10-24 17:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,558.7360819444444,500.8402680555555,612.888859722222,570.815944675926,345.01734328703714,200.0,200.0,400.02082685185195,502.2499999999998,650.0
2013-10-24 18:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,558.0879435185184,500.8402680555555,612.888859722222,570.815944675926,344.89581388888894,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-24 19:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,556.9739510416666,500.8402680555555,612.888859722222,570.9374740740741,344.89581388888894,200.0,200.0,400.14235625000003,502.2499999999998,650.0
2013-10-24 20:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,556.9131895833334,500.8402680555555,612.888859722222,570.8767093749998,344.89581388888894,200.0,200.0,399.9600621527778,502.2499999999998,650.0
2013-10-24 21:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,556.9131895833334,500.8402680555555,612.888859722222,570.998238773148,344.89581388888894,200.0,200.0,399.89929745370375,502.2499999999998,650.0
2013-10-24 22:00:00-05:00,650.0,650.0,650.0,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,556.7916666666666,500.8402680555555,612.888859722222,570.6944152777774,344.89581388888894,200.0,200.0,400.50694444444446,502.2499999999998,650.0
2013-10-24 23:00:00-05:00,650.0,650.0,650.0,200.0,628.5902680555555,533.3611208333334,586.9791666666666,650.0,650.0,556.7916666666666,500.8402680555555,612.888859722222,570.6944152777774,344.89581388888894,200.0,200.0,400.50694444444446,502.2499999999998,650.0
2013-10-25 00:00:00-05:00,650.0,650.0,650.0,200.0,571.2777745370369,533.3611208333334,586.9791666666666,650.0,650.0,556.9131895833334,500.8402680555555,612.888859722222,571.1197681712961,344.89581388888894,200.0,200.0,400.20312094907405,502.2499999999998,650.0
2013-10-25 01:00:00-05:00,650.0,650.0,650.0,200.0,588.5347222222221,533.3611208333334,586.9791666666666,650.0,650.0,556.7916666666666,500.8402680555555,612.888859722222,570.6944152777774,344.89581388888894,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-25 02:00:00-05:00,650.0,650.0,650.0,200.0,582.6325231481479,533.3611208333334,586.9791666666666,650.0,650.0,556.7916666666666,500.8402680555555,612.888859722222,570.6944152777774,344.89581388888894,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-25 03:00:00-05:00,650.0,650.0,650.0,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,556.7916666666666,500.8402680555555,612.888859722222,570.6944152777774,344.89581388888894,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-25 04:00:00-05:00,650.0,650.0,650.0,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,556.9131895833334,500.8402680555555,612.888859722222,570.9374740740741,344.89581388888894,200.0,200.0,400.02082685185184,502.2499999999998,650.0
2013-10-25 05:00:00-05:00,650.0,650.0,650.0,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,556.9131895833334,500.8402680555555,612.888859722222,570.9982387731482,344.89581388888894,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-25 06:00:00-05:00,650.0,650.0,650.0,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,556.7916666666666,500.8402680555555,612.888859722222,570.9374740740741,338.20369398148136,200.0,200.0,400.26388564814806,502.2499999999998,650.0
2013-10-25 07:00:00-05:00,650.0,650.0,650.0,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,556.852428125,500.8402680555555,551.5497498842592,570.6944152777774,334.49304583333327,200.0,200.0,399.9600621527778,502.2499999999998,650.0
2013-10-25 08:00:00-05:00,650.0,650.0,650.0,200.0,516.047451273148,533.3611208333334,586.9791666666666,650.0,650.0,556.9739510416666,500.8402680555555,530.796857175926,570.6944152777774,353.8686253472221,200.0,200.0,399.77776805555555,502.2499999999998,650.0
2013-10-25 09:00:00-05:00,650.0,650.0,650.0,200.0,587.9999878472221,533.3611208333334,586.9791666666666,650.0,650.0,557.0347125,500.8402680555555,522.9097222222221,570.8767093749998,567.3969850694443,200.0,200.0,399.9600621527777,502.2499999999998,650.0
2013-10-25 10:00:00-05:00,650.0,650.0,650.0,200.0,604.2847124999998,533.3611208333334,607.6145590277779,650.0,650.0,556.852428125,500.8402680555555,522.3466435185184,571.0590034722221,418.54165694444436,200.0,200.0,400.20312094907405,502.2499999999998,650.0
