description,base lab cfm,equipment inc cfm,sash driven cfm,lab total cfm,savings cfm,lab total cad,savings cad
current operation,191.9800000000032,38.01999999999892,32.919602156090946,262.9196021560909,0.0,1314.5980107804544,0.0
reduced unoccupied ach,182.11686193429887,47.88313806570082,32.51660423266156,262.51660423266145,0.40299792342943874,1312.5830211633072,2.0149896171471937
reduced unoccupied face velocity,191.9800000000032,38.01999999999892,23.629981840218395,253.6299818402184,9.289620315872497,1268.149909201092,46.448101579362486
sash reduced 20%,191.9800000000032,38.01999999999892,21.510231882203986,251.51023188220384,11.409370273887077,1257.5511594110192,57.04685136943539
sash reduced 50%,191.9800000000032,38.01999999999892,6.275290474268466,236.27529047426842,26.6443116818225,1181.376452371342,133.2215584091125
"reduced ach, sash reduced 20%",182.03601654031812,47.96398345968199,21.36707716942238,251.36707716942237,11.552524986668542,1256.8353858471119,57.762624933342714
"reduced ach, sash reduced 50%",182.58172294969097,47.41827705030908,6.4606430052530825,236.46064300525313,26.458959150837757,1182.3032150262657,132.29479575418878
"all reduced (ach, face vel, sash 50%)",182.29876407075685,47.701235929243204,6.365250901674536,236.3652509016746,26.554351254416247,1181.826254508373,132.77175627208123
