,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 21:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-24 22:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-24 23:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 00:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-25 01:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-25 02:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 03:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 04:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-25 05:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 06:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 07:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 08:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 09:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 10:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-25 11:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 12:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 13:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 14:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 15:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 16:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 17:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 18:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 19:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 20:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 21:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-25 22:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-25 23:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 00:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 01:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 02:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 03:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 04:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 05:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 06:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 07:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 08:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 09:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 10:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 11:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 12:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 13:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 14:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 15:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 16:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 17:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 18:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 19:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 20:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-26 21:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 22:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-26 23:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 00:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 01:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 02:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 03:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 04:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 05:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 06:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 07:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 08:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 09:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 10:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 11:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 12:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 13:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 14:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 15:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 16:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 17:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 18:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 19:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 20:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 21:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-27 22:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-27 23:00:00-05:00,1,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-28 00:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 01:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 02:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 03:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-28 04:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-28 05:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
2013-10-28 06:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 07:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 08:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 09:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 10:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 11:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 12:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 13:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 14:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 15:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 16:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 17:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 18:00:00-05:00,1,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 19:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 20:00:00-05:00,0,True,432.90000000000003,350.0,0.0,432.90000000000003,,,,,432.90000000000003,432.90000000000003,0.0,0.0
2013-10-28 21:00:00-05:00,0,False,341.6,350.0,8.399999999999977,350.0,,,,,350.0,350.0,0.0,0.0
