,minimum_evac,hood_unadjusted_sum,hood_adjusted_sum
2013-10-24 17:30:00-05:00,3017,3000.0,3017.0
2013-10-24 18:00:00-05:00,3017,3000.0,3017.0
2013-10-24 18:30:00-05:00,3017,3000.0,3017.0
2013-10-24 19:00:00-05:00,3017,3000.0,3017.0
2013-10-24 19:30:00-05:00,3017,3000.0,3017.0
2013-10-24 20:00:00-05:00,3017,3000.0,3017.0
2013-10-24 20:30:00-05:00,3017,3000.0,3017.0
2013-10-24 21:00:00-05:00,3017,3000.0,3017.0
2013-10-24 21:30:00-05:00,3017,3000.0,3017.0
2013-10-24 22:00:00-05:00,3017,3000.0,3017.0
2013-10-24 22:30:00-05:00,3017,3000.0,3017.0
2013-10-24 23:00:00-05:00,3017,3000.0,3017.0
2013-10-24 23:30:00-05:00,3017,3000.0,3017.0
2013-10-25 00:00:00-05:00,3017,3000.0,3017.0
2013-10-25 00:30:00-05:00,3017,3000.0,3017.0
2013-10-25 01:00:00-05:00,3017,3000.0,3017.0
2013-10-25 01:30:00-05:00,3017,3000.0,3017.0
2013-10-25 02:00:00-05:00,3017,3000.0,3017.0
2013-10-25 02:30:00-05:00,3017,3000.0,3017.0
2013-10-25 03:00:00-05:00,3017,3000.0,3017.0
2013-10-25 03:30:00-05:00,3017,3000.0,3017.0
2013-10-25 04:00:00-05:00,3017,3000.0,3017.0
2013-10-25 04:30:00-05:00,3017,3000.0,3017.0
2013-10-25 05:00:00-05:00,3017,3000.0,3017.0
2013-10-25 05:30:00-05:00,3017,3000.0,3017.0
2013-10-25 06:00:00-05:00,3017,3000.0,3017.0
2013-10-25 06:30:00-05:00,3017,3000.0,3017.0
2013-10-25 07:00:00-05:00,3017,3000.0,3017.0
2013-10-25 07:30:00-05:00,3017,3000.0,3017.0
2013-10-25 08:00:00-05:00,3017,3000.0,3017.0
2013-10-25 08:30:00-05:00,3017,3000.0,3017.0
2013-10-25 09:00:00-05:00,3017,3000.0,3017.0
2013-10-25 09:30:00-05:00,3017,3000.0,3017.0
2013-10-25 10:00:00-05:00,7113,3000.0,7113.0
2013-10-25 10:30:00-05:00,7113,3000.0,7113.0
2013-10-25 11:00:00-05:00,7113,3000.0,7113.0
2013-10-25 11:30:00-05:00,3836,3000.0,3836.0
2013-10-25 12:00:00-05:00,7113,3000.0,7113.0
2013-10-25 12:30:00-05:00,7113,3000.0,7113.0
2013-10-25 13:00:00-05:00,7113,3000.0,7113.0
2013-10-25 13:30:00-05:00,7113,3000.0,7113.0
2013-10-25 14:00:00-05:00,7113,3000.0,7113.0
2013-10-25 14:30:00-05:00,7113,3000.0,7113.0
2013-10-25 15:00:00-05:00,7113,3000.0,7113.0
2013-10-25 15:30:00-05:00,7113,3000.0,7113.0
2013-10-25 16:00:00-05:00,3017,3000.0,3017.0
2013-10-25 16:30:00-05:00,3017,3000.0,3017.0
