,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
2013-10-24 17:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-24 18:00:00-05:00,0.0,3017.5,3150.0,132.5,3150.0,,,,,3150.0,3150.0,0.0,0.0
2013-10-24 19:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-24 20:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-24 21:00:00-05:00,3.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-24 22:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,3333.590237411111,3267.3129599999997,46.86511229614071,3300.451598705555,5475.0,5475.0,0.0,0.0
2013-10-24 23:00:00-05:00,4.0,5475.0,3150.0,0.0,5475.0,3500.7557151618057,3267.3129599999997,165.0689551939481,3384.0343375809025,5475.0,5475.0,0.0,0.0
2013-10-25 00:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,3346.4999822555556,3267.3129599999997,55.9936804190341,3306.9064711277774,5475.0,5475.0,0.0,0.0
2013-10-25 01:00:00-05:00,4.0,5475.0,3150.0,0.0,5475.0,3317.2756474666667,3267.3129599999997,42.95824130300153,3292.294303733333,5475.0,5475.0,0.0,0.0
2013-10-25 02:00:00-05:00,3.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-25 03:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,3541.192756672222,3267.3129599999997,193.66226145707668,3404.252858336111,5475.0,5475.0,0.0,0.0
2013-10-25 04:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,3507.124406008333,3267.3129599999997,169.5722996784621,3387.2186830041665,5475.0,5475.0,0.0,0.0
2013-10-25 05:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,3377.2737913916667,3268.9021199999993,76.63034372967279,3323.087955695833,5475.0,5475.0,0.0,0.0
2013-10-25 06:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-25 07:00:00-05:00,3.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-25 08:00:00-05:00,0.0,3017.5,3150.0,132.5,3150.0,,,,,3150.0,3150.0,0.0,0.0
2013-10-25 09:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,3443.8346333333334,3606.3337599999995,226.6157255595701,3525.0841966666662,5475.0,5475.0,0.0,0.0
2013-10-25 10:00:00-05:00,8.0,6294.166666666667,3150.0,0.0,6294.166666666667,4049.4816427916667,3606.3337599999995,352.0958919783938,3827.907701395833,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 11:00:00-05:00,8.0,6294.166666666667,3150.0,0.0,6294.166666666667,,,,,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 12:00:00-05:00,9.0,6294.166666666667,3150.0,0.0,6294.166666666667,,,,,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 13:00:00-05:00,9.0,6294.166666666667,3150.0,0.0,6294.166666666667,5257.770106625555,5004.088266666667,816.5275594421053,5130.929186646111,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 14:00:00-05:00,4.0,6294.166666666667,3150.0,0.0,6294.166666666667,4319.510164100529,5414.545592380951,1088.3728679289277,4867.02787824074,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 15:00:00-05:00,6.0,6294.166666666667,3150.0,0.0,6294.166666666667,4038.1467774750004,4041.7635999999993,396.2588949682136,4039.9551887375,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 16:00:00-05:00,11.0,6294.166666666667,3150.0,0.0,6294.166666666667,3930.0948532333337,4111.510066666667,631.5788197278739,4020.80245995,6294.166666666667,6294.166666666667,0.0,0.0
2013-10-25 17:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,3455.1146331333334,3500.389759999999,75.21416121084127,3477.7521965666665,5475.0,5475.0,0.0,0.0
2013-10-25 18:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,3497.251122583333,3500.389759999999,109.22634338493765,3498.8204412916666,5475.0,5475.0,0.0,0.0
2013-10-25 19:00:00-05:00,0.0,3017.5,3150.0,132.5,3150.0,,,,,3150.0,3150.0,0.0,0.0
2013-10-25 20:00:00-05:00,3.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-25 21:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-25 22:00:00-05:00,3.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-25 23:00:00-05:00,0.0,3017.5,3150.0,132.5,3150.0,,,,,3150.0,3150.0,0.0,0.0
2013-10-26 00:00:00-05:00,0.0,3017.5,3150.0,132.5,3150.0,,,,,3150.0,3150.0,0.0,0.0
2013-10-26 01:00:00-05:00,3.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-26 02:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-26 03:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-26 04:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,,,,,5475.0,5475.0,0.0,0.0
2013-10-26 05:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,3515.422323825,3499.330319999999,114.03598307170294,3507.3763219124994,5475.0,5475.0,0.0,0.0
2013-10-26 06:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,3456.81007,3500.0366133333328,79.95336749362313,3478.423341666666,5475.0,5475.0,0.0,0.0
2013-10-26 07:00:00-05:00,1.0,5475.0,3150.0,0.0,5475.0,3675.4688206666665,3500.389759999999,211.39922141501137,3587.929290333333,5475.0,5475.0,0.0,0.0
2013-10-26 08:00:00-05:00,0.0,3017.5,3150.0,132.5,3150.0,3453.9515325212124,3500.7750109090903,75.76418401059759,3477.3632717151513,3453.9515325212124,3500.7750109090903,303.95153252121236,350.77501090909027
2013-10-26 09:00:00-05:00,2.0,5475.0,3150.0,0.0,5475.0,3673.5974872,3500.3897599999996,205.28887611047,3586.9936236,5475.0,5475.0,0.0,0.0
2013-10-26 10:00:00-05:00,5.0,6294.166666666667,3150.0,0.0,6294.166666666667,3445.3309932,3500.389759999999,82.1322393523891,3472.8603765999997,6294.166666666667,6294.166666666667,0.0,0.0
